"i,s_l,s_w,p_l,p_w,class"
"0,6.2,3.4,5.4,2.3,Iris-virginica"
"1,6.4,3.2,4.5,1.5,Iris-versicolor"
"2,4.9,2.5,4.5,1.7,Iris-virginica"
"3,5.4,3.0,4.5,1.5,Iris-versicolor"
"4,5.4,3.9,1.3,0.4,Iris-setosa"
"5,5.4,3.7,1.5,0.2,Iris-setosa"
"6,4.6,3.6,1.0,0.2,Iris-setosa"
"7,6.3,3.3,6.0,2.5,Iris-virginica"
"8,6.0,2.9,4.5,1.5,Iris-versicolor"
"9,5.1,3.8,1.6,0.2,Iris-setosa"
"10,6.8,3.2,5.9,2.3,Iris-virginica"
"11,4.8,3.1,1.6,0.2,Iris-setosa"
"12,6.1,3.0,4.9,1.8,Iris-virginica"
"13,5.0,3.5,1.6,0.6,Iris-setosa"
"14,5.8,2.7,5.1,1.9,Iris-virginica"
"15,5.1,3.7,1.5,0.4,Iris-setosa"
"16,5.8,2.7,4.1,1.0,Iris-versicolor"
"17,5.0,2.3,3.3,1.0,Iris-versicolor"
"18,5.8,2.6,4.0,1.2,Iris-versicolor"
"19,6.6,3.0,4.4,1.4,Iris-versicolor"
"20,6.4,2.8,5.6,2.2,Iris-virginica"
"21,5.5,2.4,3.7,1.0,Iris-versicolor"
"22,6.0,3.4,4.5,1.6,Iris-versicolor"
"23,6.7,3.0,5.0,1.7,Iris-versicolor"
"24,5.0,3.2,1.2,0.2,Iris-setosa"
"25,7.3,2.9,6.3,1.8,Iris-virginica"
"26,6.1,3.0,4.6,1.4,Iris-versicolor"
"27,4.8,3.4,1.9,0.2,Iris-setosa"
"28,4.4,3.2,1.3,0.2,Iris-setosa"
"29,6.7,3.3,5.7,2.1,Iris-virginica"
"30,4.4,2.9,1.4,0.2,Iris-setosa"
"31,4.9,3.0,1.4,0.2,Iris-setosa"
"32,4.8,3.0,1.4,0.3,Iris-setosa"
"33,7.9,3.8,6.4,2.0,Iris-virginica"
"34,5.8,2.7,5.1,1.9,Iris-virginica"
"35,6.7,3.1,4.4,1.4,Iris-versicolor"
"36,6.7,3.1,4.7,1.5,Iris-versicolor"
"37,6.7,2.5,5.8,1.8,Iris-virginica"
"38,6.4,2.9,4.3,1.3,Iris-versicolor"
"39,6.7,3.1,5.6,2.4,Iris-virginica"
"40,5.6,3.0,4.1,1.3,Iris-versicolor"
"41,7.0,3.2,4.7,1.4,Iris-versicolor"
"42,5.5,3.5,1.3,0.2,Iris-setosa"
"43,4.7,3.2,1.3,0.2,Iris-setosa"
"44,4.6,3.4,1.4,0.3,Iris-setosa"
"45,4.9,3.1,1.5,0.1,Iris-setosa"
"46,5.5,4.2,1.4,0.2,Iris-setosa"
"47,6.2,2.2,4.5,1.5,Iris-versicolor"
"48,6.4,2.8,5.6,2.1,Iris-virginica"
"49,4.5,2.3,1.3,0.3,Iris-setosa"
